名称,开始时间,结束时间,类型
【复刻·银心湖列车】战斗,2024-12-19 16:00:00,2024-12-29 04:00:00,1
【限时寻访】锏,2024-12-19 16:00:00,2025-01-02 04:00:00,0
【跨年池】跨年欢庆·中坚,2024-12-26 04:00:00,2025-01-09 04:00:00,0
【跨年纪念】签到,2024-12-29 04:00:00,2025-01-08 04:00:00,2
【视相博物馆】,2024-12-29 16:00:00,2025-01-12 04:00:00,2
【跨年池】跨年欢庆·愿景,2025-01-01 00:00:00,2025-01-15 12:00:00,0
【寻访】跨年欢庆·愿景,2025-01-01 00:00:00,2025-01-15 03:59:00,0
【标准池】林、水月,2025-01-02 04:00:00,2025-01-16 04:00:00,0
【剿灭·炎国】壬午号水稻田,2025-01-06 04:00:00,2025-03-03 04:00:00,99
【中坚池】山、夜莺,2025-01-09 04:00:00,2025-01-23 04:00:00,0
【集成战略】限时任务,2025-01-09 16:00:00,2025-02-14 04:00:00,2
*【标准池】号角、帕拉斯,2025-01-16 04:00:00,2025-01-30 04:00:00,0
*【复刻·怀黍离】战斗,2025-01-16 16:00:00,2025-01-26 04:00:00,1
*【复刻·怀黍离】商店,2025-01-16 16:00:00,2025-01-30 04:00:00,1
【寻访】【限定寻访·春节】炽吾生平 · 余,2025-01-22 16:00:00,2025-02-05 03:59:00,0
【中坚池】闪灵/莫斯提马,2025-04-17 04:00:00,2025-05-01 03:59:00,0
【标准池】莱伊/霍尔海雅,2025-04-24 04:00:00,2025-05-08 03:59:00,0
【寻访】【限定寻访·庆典】布道自由 · 新约能天使,2025-05-01 16:00:00,2025-05-15 03:59:00,0
【寻访】【限定寻访·夏季】不归花火 · 斩业星熊,2025-08-02 16:00:00,2025-08-16 03:59:00,0
【寻访】人偶的歌谣 · 丰川祥子,2025-09-04 16:00:00,2025-09-18 03:59:00,0
【寻访】【限定寻访·庆典】以风雪为誓 · 凛御银灰,2025-11-01 12:00:00,2025-11-15 03:59:00,0
【保全】协奏,2025-12-05 16:00:00,2026-08-16 04:00:00,99
【忒斯特收藏】系列 - 寰宇独奏,2025-12-23 20:30:00,2025-01-20 00:00:00,2
【寻访】跨年欢庆·中坚,2025-12-25 04:00:00,2026-01-08 03:59:00,0
【寻访】跨年欢庆·希冀,2026-01-01 00:00:00,2026-01-15 03:59:00,0
【标准池】#175 · 赫德雷 / 司霆惊蛰,2026-01-01 04:00:00,2026-01-15 03:59:00,0
【中坚池】#59 · 早露 / 山,2026-01-08 04:00:00,2026-01-22 03:59:00,0
【标准池】#176 · 老鲤 / 隐德来希,2026-01-15 04:00:00,2026-01-29 03:59:00,0
【中坚池】#60 · 能天使 / 伊芙利特,2026-01-22 04:00:00,2026-02-05 03:59:00,0
【标准池】#177 · 伊内丝 / 烛煌,2026-01-29 04:00:00,2026-02-12 03:59:00,0
【中坚池】#61 · 琴柳 / 卡涅利安,2026-02-05 04:00:00,2026-02-19 03:59:00,0
【寻访】【限定寻访·春节】劫尽古今 · 望,2026-02-10 12:00:00,2026-02-24 03:59:00,0
【标准池】#178 · 霍尔海雅 / 菲亚梅塔,2026-02-12 04:00:00,2026-02-26 03:59:00,0
【中坚池】#甄选12,2026-02-19 04:00:00,2026-03-05 03:59:00,0
【中坚池】#甄选12 · 推进之王 / 安洁莉娜 / 陈 / 麦哲伦 / 风笛 / 傀影 / 早露 / 铃兰 / 泥岩 / 山 / 水月 / 远牙,2026-02-19 04:00:00,2026-03-05 03:59:00,0
【标准池】#179 · 锏 / 琳琅诗怀雅,2026-02-26 04:00:00,2026-03-12 03:59:00,0
【中坚池】#62 · 星熊 / 嵯峨,2026-03-05 04:00:00,2026-03-19 03:59:00,0
【标准池】#180 · 多萝西 / 焰影苇草,2026-03-12 04:00:00,2026-03-26 03:59:00,0
【中坚池】#63 · 帕拉斯 / 泥岩,2026-03-19 04:00:00,2026-04-02 03:59:00,0
【标准池】#181 · 莱伊 / 白铁,2026-03-26 04:00:00,2026-04-09 03:59:00,0
【中坚池】#64 · 斯卡蒂 / 刻俄柏,2026-04-02 04:00:00,2026-04-16 03:59:00,0
【标准池】#182 · 玛恩纳 / 斥罪,2026-04-09 04:00:00,2026-04-23 03:59:00,0
【中坚池】#65 · 塞雷娅 / 温蒂,2026-04-16 04:00:00,2026-04-30 03:59:00,0
【标准池】#183 · 鸿雪 / 引星棘刺,2026-04-23 04:00:00,2026-05-07 03:59:00,0
【剿灭】朱墙食府,2026-04-27 04:00:00,2026-07-27 03:59:00,99
【中坚池】#66 · 陈 / 闪灵,2026-04-30 04:00:00,2026-05-14 03:59:00,0
【寻访】【限定寻访·庆典】承诺 · 凯尔希·思衡托,2026-05-01 07:00:00,2026-05-15 03:59:00,0
【标准池】#184 · 左乐 / 涤火杰西卡,2026-05-07 04:00:00,2026-05-21 03:59:00,0
【中坚池】#甄选13,2026-05-14 04:00:00,2026-05-28 03:59:00,0
【中坚池】#甄选13 · 艾雅法拉 / 星熊 / 银灰 / 莫斯提马 / 温蒂 / 史尔特尔 / 凯尔希 / 琴柳 / 焰尾 / 灵知 / 澄闪 / 多萝西,2026-05-14 04:00:00,2026-05-28 03:59:00,0
【标准池】#185 · 圣约送葬人 / 薇薇安娜,2026-05-21 04:00:00,2026-06-04 03:59:00,0
众生行记2026,2026-05-22 16:00:00,2026-06-05 03:59:00,1
众生行记2026 关卡,2026-05-22 16:00:00,2026-06-01 03:59:00,1
【中坚池】#67 · 异客 / 瑕光,2026-05-28 04:00:00,2026-06-11 03:59:00,0
泡影苍霆 礼包,2026-06-01 12:00:00,2026-06-29 03:59:00,-1
泡影苍霆,2026-06-01 12:00:00,2026-06-22 03:59:00,1
泡影苍霆 关卡,2026-06-01 12:00:00,2026-06-15 03:59:00,1
泡影苍霆 【幽境狩人】寻访 · 焰狐龙梓兰,2026-06-01 12:00:00,2026-06-15 03:59:00,0
泡影苍霆 签到,2026-06-01 12:00:00,2026-06-15 03:59:00,2
阵地足球锦标,2026-06-08 16:00:00,2026-06-22 03:59:00,1
